pair,timestamp,candle_index,rsi,ma_gap_pct,entry_price,exit_price,pct_change,action,raw_confidence,calibrated_confidence,was_correct,n_retrieved,n_retrieved_graded
BTC/USDT,1737561600.0,520,39.3,-0.4808,103704.64,104321.1,0.5944382045007884,SELL,47,59,False,3,3
BTC/USDT,1737565200.0,521,45.76,-0.5695,104345.8,104088.03,-0.24703437991754731,SELL,49,40,False,3,3
BTC/USDT,1737568800.0,522,42.35,-0.6805,103896.01,103866.79,-0.028124275417315034,SELL,50,80,False,3,3
BTC/USDT,1737572400.0,523,49.02,-0.7196,104630.0,103706.66,-0.8824811239606198,SELL,51,26,True,3,2
BTC/USDT,1737576000.0,524,46.58,-0.831,104321.1,103307.51,-0.9716059359036772,SELL,52,26,True,3,2
BTC/USDT,1737579600.0,525,44.77,-0.9317,104088.03,102931.94,-1.110684869336077,SELL,54,42,True,3,3
BTC/USDT,1737583200.0,526,43.06,-1.0311,103866.79,102655.34,-1.166349706195789,SELL,55,82,True,3,3
BTC/USDT,1737586800.0,527,41.81,-0.9887,103706.66,102461.25,-1.2008968372908773,SELL,55,62,True,3,3
BTC/USDT,1737590400.0,528,38.79,-0.9804,103307.51,102075.22,-1.1928368034424541,SELL,55,42,True,3,3
BTC/USDT,1737594000.0,529,36.15,-0.9704,102931.94,102532.52,-0.3880428174189647,SELL,55,22,False,3,3
BTC/USDT,1737597600.0,530,34.3,-0.9608,102655.34,102256.7,-0.3883285565076297,SELL,54,52,False,3,2
BTC/USDT,1737601200.0,531,33.02,-1.0049,102461.25,102710.27,0.24303822176676948,SELL,55,70,False,3,1
BTC/USDT,1737604800.0,532,30.58,-1.0554,102075.22,102215.75,0.13767298272783426,SELL,56,37,False,3,1
BTC/USDT,1737608400.0,533,36.56,-1.1422,102532.52,101672.01,-0.8392556820021679,SELL,57,23,True,3,3
BTC/USDT,1737612000.0,534,34.62,-1.2235,102256.7,101683.61,-0.5604424942326484,SELL,58,29,True,3,2
BTC/USDT,1737615600.0,535,40.24,-1.2581,102710.27,101944.49,-0.7455729597439466,SELL,59,24,True,3,3
BTC/USDT,1737619200.0,536,36.55,-1.3103,102215.75,101635.58,-0.5675935460044057,SELL,60,40,True,3,1
BTC/USDT,1737622800.0,537,32.98,-1.3817,101672.01,102512.28,0.826451645836454,SELL,61,44,False,3,3
BTC/USDT,1737626400.0,538,33.13,-1.4148,101683.61,105213.5,3.47144441468984,SELL,61,56,False,3,2
BTC/USDT,1737630000.0,539,36.57,-1.3914,101944.49,105263.52,3.2557227958077957,SELL,61,41,False,3,1
BTC/USDT,1737633600.0,540,34.32,-1.371,101635.58,105139.18,3.4472179919669776,SELL,61,61,False,3,0
BTC/USDT,1737637200.0,541,44.73,-1.2843,102512.28,105927.78,3.3317959565429627,SELL,59,44,False,3,3
BTC/USDT,1737640800.0,542,63.78,-0.9792,105213.5,105424.39,0.2004400575971709,SELL,55,42,False,3,3
BTC/USDT,1737644400.0,543,64.03,-0.7241,105263.52,103770.04,-1.4188011193241594,SELL,51,20,True,3,3
BTC/USDT,1737648000.0,544,62.88,-0.4454,105139.18,103284.48,-1.7640426718184383,SELL,47,19,True,3,3
BTC/USDT,1737651600.0,545,66.93,-0.161,105927.78,103079.08,-2.6892850959398915,SELL,42,17,True,3,3
BTC/USDT,1737655200.0,546,62.26,0.1443,105424.39,103978.82,-1.3711912395224601,BUY,42,77,False,3,3
BTC/USDT,1737658800.0,547,49.92,0.3568,103770.04,103910.34,0.13520280034584445,BUY,45,18,False,3,3
BTC/USDT,1737662400.0,548,46.98,0.5474,103284.48,103446.62,0.1569838953538803,BUY,48,39,False,3,3
BTC/USDT,1737666000.0,549,45.75,0.6929,103079.08,103234.3,0.15058341615000945,BUY,50,40,False,3,3
BTC/USDT,1737669600.0,550,51.71,0.9105,103978.82,103016.01,-0.9259674229809611,BUY,54,22,False,3,3
BTC/USDT,1737673200.0,551,51.25,1.0599,103910.34,103891.75,-0.01789042360942762,BUY,56,42,False,3,3
BTC/USDT,1737676800.0,552,48.12,0.9036,103446.62,104631.99,1.1458760083219828,BUY,54,62,True,3,3
BTC/USDT,1737680400.0,553,46.71,0.7527,103234.3,105222.15,1.9255712490906522,BUY,51,20,True,3,3
BTC/USDT,1737684000.0,554,45.25,0.5896,103016.01,104991.01,1.9171777280055793,BUY,49,40,True,3,3
BTC/USDT,1737687600.0,555,51.78,0.3989,103891.75,105046.8,1.1117822156234762,BUY,46,18,True,3,3
BTC/USDT,1737691200.0,556,56.5,0.2974,104631.99,105500.76,0.8303101183490723,BUY,44,38,True,3,3
BTC/USDT,1737694800.0,557,59.88,0.3888,105222.15,105146.67,-0.07173394575191244,BUY,46,18,False,3,3
BTC/USDT,1737698400.0,558,57.98,0.4994,104991.01,105416.75,0.4055013853090901,BUY,47,39,False,3,3
BTC/USDT,1737702000.0,559,58.32,0.6211,105046.8,105420.1,0.35536541808032507,BUY,49,40,False,3,3
BTC/USDT,1737705600.0,560,61.11,0.6758,105500.76,105526.58,0.02447375734545134,BUY,50,20,False,3,3
BTC/USDT,1737709200.0,561,57.86,0.7082,105146.67,105118.07,-0.027200100583300704,BUY,51,40,False,3,3
BTC/USDT,1737712800.0,562,59.62,0.7899,105416.75,105758.0,0.3237151591184513,BUY,52,21,False,3,3
BTC/USDT,1737716400.0,563,59.65,0.9069,105420.1,105859.98,0.41726388041748214,BUY,54,22,False,3,3
BTC/USDT,1737720000.0,564,60.4,1.0426,105526.58,105645.89,0.11306156230970214,BUY,56,42,False,3,3
BTC/USDT,1737723600.0,565,56.06,1.0825,105118.07,106458.46,1.2751280536257936,BUY,56,22,True,3,3
BTC/USDT,1737727200.0,566,60.81,1.076,105758.0,106327.72,0.538701563947882,BUY,56,53,True,3,2
BTC/USDT,1737730800.0,567,61.53,1.0019,105859.98,105760.94,-0.0935575464873445,BUY,55,22,False,3,3
BTC/USDT,1737734400.0,568,59.09,0.9369,105645.89,104859.11,-0.7447331836572145,BUY,54,22,False,3,3
BTC/USDT,1737738000.0,569,64.79,0.9267,106458.46,105124.61,-1.252930016083274,BUY,54,42,False,3,3
BTC/USDT,1737741600.0,570,63.26,0.8549,106327.72,104777.25,-1.458199235345215,BUY,53,41,False,3,3
BTC/USDT,1737745200.0,571,56.99,0.8094,105760.94,104870.5,-0.841936541033015,BUY,52,41,False,3,3
BTC/USDT,1737748800.0,572,48.72,0.7675,104859.11,104419.59,-0.4191528995430193,BUY,52,41,False,3,3
BTC/USDT,1737752400.0,573,50.98,0.7438,105124.61,104738.0,-0.3677635522262585,BUY,51,20,False,3,3
BTC/USDT,1737756000.0,574,48.0,0.6839,104777.25,104559.54,-0.20778365532594756,BUY,50,50,False,3,2
BTC/USDT,1737759600.0,575,48.86,0.6942,104870.5,105202.4,0.3164855702986008,BUY,50,50,False,3,2
BTC/USDT,1737763200.0,576,44.98,0.5986,104419.59,104648.0,0.21874247926083937,BUY,49,40,False,3,3
BTC/USDT,1737766800.0,577,48.12,0.4606,104738.0,104365.97,-0.35520059577230695,BUY,47,19,False,3,3
BTC/USDT,1737770400.0,578,46.51,0.3163,104559.54,104308.0,-0.24057106601654293,BUY,45,18,False,3,3
BTC/USDT,1737774000.0,579,52.63,0.1289,105202.4,104385.98,-0.7760469342904709,BUY,42,37,False,3,3
BTC/USDT,1737777600.0,580,47.58,-0.0524,104648.0,104341.98,-0.29242794893357166,SELL,41,16,False,3,3
BTC/USDT,1737781200.0,581,45.2,-0.1998,104365.97,104366.63,0.0006323900405500878,SELL,43,37,False,3,3
BTC/USDT,1737784800.0,582,44.71,-0.2795,104308.0,104540.0,0.22241822295509453,SELL,44,22,False,3,2
BTC/USDT,1737788400.0,583,45.57,-0.3863,104385.98,104670.99,0.27303475045212905,SELL,46,23,False,3,2
BTC/USDT,1737792000.0,584,45.14,-0.4696,104341.98,104753.07,0.39398332291567695,SELL,47,31,False,3,1
BTC/USDT,1737795600.0,585,45.45,-0.5326,104366.63,104717.04,0.3357490799501612,SELL,48,32,False,3,1
BTC/USDT,1737799200.0,586,47.68,-0.5182,104540.0,104600.01,0.05740386454944974,SELL,48,32,False,3,1
BTC/USDT,1737802800.0,587,49.37,-0.5072,104670.99,104897.79,0.21667894800649956,SELL,48,32,False,3,1
BTC/USDT,1737806400.0,588,50.45,-0.4813,104753.07,104654.9,-0.09371563048225011,SELL,47,31,False,3,1
BTC/USDT,1737810000.0,589,49.94,-0.5171,104717.04,104899.71,0.17444152355720982,SELL,48,48,False,3,0
BTC/USDT,1737813600.0,590,48.26,-0.4932,104600.01,104983.49,0.36661564372700395,SELL,47,31,False,3,1
BTC/USDT,1737817200.0,591,52.63,-0.4347,104897.79,105055.16,0.15002222639772478,SELL,47,31,False,3,1
BTC/USDT,1737820800.0,592,49.0,-0.3776,104654.9,104965.71,0.2969856165358834,SELL,46,23,False,3,2
BTC/USDT,1737824400.0,593,52.55,-0.3122,104899.71,105102.84,0.19364209872457233,SELL,45,18,False,3,3
BTC/USDT,1737828000.0,594,53.74,-0.2338,104983.49,105077.54,0.08958551482712983,SELL,44,18,False,3,3
BTC/USDT,1737831600.0,595,54.79,-0.1662,105055.16,104746.85,-0.2934743995440088,SELL,42,17,False,3,3
BTC/USDT,1737835200.0,596,53.17,-0.1005,104965.71,104599.96,-0.34844712620912105,SELL,42,17,False,3,3
BTC/USDT,1737838800.0,597,55.34,-0.0353,105102.84,104621.37,-0.458094186608089,SELL,41,36,False,3,3
BTC/USDT,1737842400.0,598,54.84,0.0137,105077.54,104696.25,-0.36286536590026147,BUY,40,36,False,3,3
