pair,timestamp,candle_index,rsi,ma_gap_pct,entry_price,exit_price,pct_change,action,raw_confidence,calibrated_confidence,was_correct,n_retrieved,n_retrieved_graded
BTC/USDT,1784145600.0,520,56.3,0.3763,64968.01,64584.07,-0.590967770137953,BUY,46,48,False,3,2
BTC/USDT,1784149200.0,521,52.78,0.3874,64834.31,64730.01,-0.16087161257672927,BUY,46,23,False,3,2
BTC/USDT,1784152800.0,522,53.55,0.3345,64866.93,64642.01,-0.34674062731194194,BUY,45,22,False,3,2
BTC/USDT,1784156400.0,523,50.56,0.2717,64756.28,64619.95,-0.21052784378596448,BUY,44,18,False,3,3
BTC/USDT,1784160000.0,524,46.24,0.1453,64584.07,64650.05,0.10216141534592539,BUY,42,37,False,3,3
BTC/USDT,1784163600.0,525,50.13,0.0295,64730.01,64917.99,0.2904062582409549,BUY,40,36,False,3,3
BTC/USDT,1784167200.0,526,47.88,-0.0479,64642.01,64777.32,0.20932208017664933,SELL,41,36,False,3,3
BTC/USDT,1784170800.0,527,47.3,-0.1122,64619.95,64238.0,-0.5910713332337724,SELL,42,17,True,3,3
BTC/USDT,1784174400.0,528,48.21,-0.1338,64650.05,64126.85,-0.8092801165660418,SELL,42,17,True,3,3
BTC/USDT,1784178000.0,529,55.58,-0.1365,64917.99,64090.0,-1.2754399820450357,SELL,42,17,True,3,3
BTC/USDT,1784181600.0,530,51.44,-0.1634,64777.32,64221.34,-0.8582942301410481,SELL,42,37,True,3,3
BTC/USDT,1784185200.0,531,39.35,-0.233,64238.0,64256.53,0.02884585447865568,SELL,43,57,False,3,3
BTC/USDT,1784188800.0,532,37.4,-0.3285,64126.85,63966.01,-0.2508153760866104,SELL,45,78,False,3,3
BTC/USDT,1784192400.0,533,36.75,-0.3954,64090.0,64376.0,0.4462474645030426,SELL,46,73,False,3,2
BTC/USDT,1784196000.0,534,40.71,-0.4245,64221.34,64543.51,0.5016556801835738,SELL,46,38,False,3,3
BTC/USDT,1784199600.0,535,41.76,-0.4623,64256.53,64704.73,0.6975166570619428,SELL,47,24,False,3,2
BTC/USDT,1784203200.0,536,36.07,-0.5233,63966.01,64484.0,0.8097894491152379,SELL,48,19,False,3,3
BTC/USDT,1784206800.0,537,47.04,-0.5521,64376.0,64069.03,-0.4768391947309575,SELL,48,19,False,3,3
BTC/USDT,1784210400.0,538,50.75,-0.5571,64543.51,64246.01,-0.4609293792667923,SELL,48,39,False,3,3
BTC/USDT,1784214000.0,539,54.09,-0.5917,64704.73,64271.84,-0.6690237328863078,SELL,49,40,True,3,3
BTC/USDT,1784217600.0,540,49.18,-0.6279,64484.0,64114.27,-0.5733670367843235,SELL,49,40,True,3,3
BTC/USDT,1784221200.0,541,41.53,-0.6201,64069.03,64161.99,0.14509350305443852,SELL,49,20,False,3,3
BTC/USDT,1784224800.0,542,45.43,-0.5546,64246.01,63968.0,-0.43272726197315914,SELL,48,19,False,3,3
